Artist,Song_Age,Decade,Number_of_Records,Spotify_Url,Theme,Title,Year
ABC,37,1980,1,http://open.spotify.com/track/78j3qTBdzcIiT3eS7XymoD,Love,The Look of Love,1982
Badly Drawn Boy,19,2000,1,http://open.spotify.com/track/2PojSoZ94AIzp7fsz6wtMt,Love,The Shining,2000
The Beach Boys,53,1960 ,1,http://open.spotify.com/track/0ObrXLrfrqJUNc8RfmIBHP,Love,God Only Knows,1966
The Beach Boys,53,1960 ,1,http://open.spotify.com/track/2oF7FZHIJbzjeEXZ3D0Ku4,Love,Good Vibrations,1966
The Beach Boys,53,1960 ,1,http://open.spotify.com/track/0cx32rX0uZvcJUP92Wkj2y,Love,Wouldn’t It Be Nice,1966
The Beatles,55,1960,1,,Love,Eight Days a Week,1964
The Beatles,54,1960,1,,Love,Girl,1965
The Beatles,56,1960,1,,Love,I Want to Hold Your Hand,1963
The Beatles,56,1960,1,,Love,She Loves You,1963
The Beatles,50,1960,1,,Love,Something,1969
The Beatles,52,1960,1,,Love,With a Little Help from My Friends,1967
The Beautiful South,30,1980,1,http://open.spotify.com/track/7k00fu054zyIgHEpkq5rBL,Love,Song for Whoever,1989
The Bee Gees,42,1970,1,http://open.spotify.com/track/1gIKd24bixkgYzuxse32oR,Love,How Deep is Your Love?,1977
Chuck Berry,61,1950,1,http://open.spotify.com/track/1fDfWFb1YmdRWu5JZ9yANo,Love,Sweet Little Sixteen,1958
Beyoncé,16,2000,1,http://open.spotify.com/track/5IVuqXILoxVWvWEPm82Jxr,Love,Crazy in Love,2003
Big Star,47,1970,1,,Love,Thirteen,1972
Bobby “Blue” Bland,60,1950,1,http://open.spotify.com/track/5vUitXO0fTxxS293NR51jA,Love,I’ll Take Care of You,1959
David Bowie,42,1970,1,http://open.spotify.com/track/1qyRX6xXvsmbxR6FEnVSv2,Love,Heroes,1977
David Bowie,26,1990,1,http://open.spotify.com/track/0PUmT62MdJwmVf4sUjbHFW,Love,The Wedding Song,1993
Buffalo Springfield,53,1960,1,http://open.spotify.com/track/70dh9SQ7pcNLn7QE5dbIiX,Love,Sit Down I Think I Love You,1966
Solomon Burke,55,1960,1,http://open.spotify.com/track/66GhKP6S6KqYMHR7xtGPoX,Love,Everybody Needs Somebody to Love,1964
R D Burman,44,1970,1,,Love,Mehbooba Mehbooba,1975
Kate Bush,34,1980,1,,Love,Hounds of Love,1985
Kate Bush,41,1970,1,http://open.spotify.com/track/4xjVfArXNQRxAvsUpjmfMt,Love,The Man With the Child in His Eyes,1978
Kate Bush,25,1990,1,,Love,The Man I Love,1994
Carlton and the Shoes,51,1960,1,,Love,Love Me Forever,1968
James Carr,52,1960,1,,Love,The Dark End of the Street,1967
Johnny Cash,63,1950,1,http://open.spotify.com/track/7wJepIHVDC88KzSyzNU1mA,Love,I Walk the Line,1956
Nick Cave and the Bad Seeds,31,1980,1,http://open.spotify.com/track/0XWoG02DaQES7ATCrbjx8D,Love,Deanna,1988
Ray Charles,65,1950,1,http://open.spotify.com/track/2xar08Fq5xra2KKZs5Bw9j,Love,I Got a Woman,1954
The Chi-Lites,46,1970,1,http://open.spotify.com/track/3R35ltXFfFzAk5cCAKgZF8,Love,Stoned Out of My Mind,1973
The Chi-Lites,45,1970,1,,Love,That’s How Long,1974
The Clash,41,1970,1,,Love,Stay Free,1978
Judy Clay and William Bell,51,1960,1,http://open.spotify.com/track/5AdCyD1APnK7Drt81MDciC,Love,Private Number,1968
Coldplay,19,2000,1,http://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,Love,Yellow,2000
The Contours,57,1960,1,http://open.spotify.com/track/1nalk6Yqn0vRg8iiYlfeYd,Love,Do You Love Me?,1962
Sam Cooke,58,1960,1,http://open.spotify.com/track/37ublgs2E1IIASg1it0v3t,Love,Cupid,1961
Elvis Costello,16,2000,1,http://open.spotify.com/track/5HWC5PWLas7xQsjQPoeDpo,Love,I’m in the Mood Again,2003
Elvis Costello and the Attractions,33,1980,1,,Love,Jack of All Parades,1986
The Crystals,56,1960,1,http://open.spotify.com/track/6OoJfmP08PBCLic4JBztsJ,Love,Then He Kissed Me,1963
The Cure,27,1990,1,http://open.spotify.com/track/6TaVUwd1GxmOcR337FZM75,Love,Friday I’m in Love,1992
Def Leppard,32,1980,1,,Love,Pour Some Sugar on Me,1987
Dion,44,1970,1,,Love,Born to Be With You,1975
Dion & the Belmonts,59,1960,1,http://open.spotify.com/track/17iHLt9yQLLeBN3g1woXzB,Love,A Teenager in Love,1960
Fats Domino,63,1950,1,http://open.spotify.com/track/25CTJ7xIrrWTHNtA7mq8Y6,Love,Blueberry Hill,1956
Bob Dylan,56,1960,1,http://open.spotify.com/track/4OfkpX0bONH3eSHQilGDnA,Love,Girl from the North Country,1963
Bob Dylan,53,1960,1,http://open.spotify.com/track/0D0fyyNszdh2FZeUoiHJx1,Love,Visions of Johanna,1966
Bob Dylan,45,1970,1,http://open.spotify.com/track/6O5MMLdfCMSohn7uvSLXqS,Love,Wedding Song,1974
Elbow,11,2000,1,http://open.spotify.com/track/6PS9nzG6GUSPbD2A1xGWbm,Love,One Day Like This,2008
Bryan Ferry,43,1970,1,http://open.spotify.com/track/47KlEDyoBmF5ulJu6qmcHo,Love,Let’s Stick Together,1976
Ella Fitzgerald,63,1950,1,http://open.spotify.com/track/50KK7LxalUrWPtZxlhBJhn,Love,Ev’ry Time We Say Goodbye,1956
Roberta Flack,46,1970,1,http://open.spotify.com/track/60SJRvzXJnVeVfS4RiH14u,Love,Killing Me Softly With His Song,1973
Aretha Franklin,52,1960,1,http://open.spotify.com/track/0FE39WU0AcIcXdkMK0fxkr,Love,I Never Loved a Man (The Way I Love You),1967
Aretha Franklin,51,1960,1,http://open.spotify.com/track/6bBwFPgVdWxuc4uWEyALCa,Love,I Say A Little Prayer,1968
Frankie Goes to Hollywood,35,1980,1,http://open.spotify.com/track/2CUoxqW5bw2WOZPExmFvk1,Love,The Power of Love,1984
Patsy Gallant,41,1970,1,,Love,It’ll All Come Around,1978
Judy Garland,80,1930,1,http://open.spotify.com/track/2vIuGZHuGRqcydnsVFC7Vp,Love,Zing! Went the Strings of My Heart,1939
Marvin Gaye And Tammi Terrell,52,1960,1,http://open.spotify.com/track/77g8V7P1MkfiPXe8Rkxm7y,Love,Ain’t No Mountain High Enough,1967
Marvin Gaye And Tammi Terrell,51,1960,1,http://open.spotify.com/track/6L7r59rN9s4mBSxZDiElTp,Love,You’re All I Need to Get By,1968
Steve Goodman,46,1970,1,http://open.spotify.com/track/7gSXNrDpUr5mMDThxS6Y6i,Love,The Dutchman,1973
Al Green,45,1970,1,,Love,Let’s Get Married,1974
Al Green,48,1970,1,http://open.spotify.com/track/1r5ix6rRcET3TUdnDSZ9Oo,Love,Let’s Stay Together,1971
Al Green,47,1970,1,,Love,Love and Happiness,1972
Guns N’ Roses,32,1980,1,http://open.spotify.com/track/5HzLcjDzlykkKC0rw2R6WJ,Love,Sweet Child O’ Mine,1987
Herman’s Hermits,55,1960,1,http://open.spotify.com/track/5tYLgBIbx3YVde84rRPNE9,Love,I’m Into Something Good,1964
Whitney Houston,34,1980,1,http://open.spotify.com/track/0xd9xioBzvbJ0KsqFUE1ob,Love,How Will I Know,1985
Leroy Hutson,46,1970,1,http://open.spotify.com/track/7yLQMOBHYEkFkFQcEoNEpR,Love,I’m So in Love,1973
The Impressions,55,1960,1,http://open.spotify.com/track/6mLycrS3LfCUERnOWm8luW,Love,I’m So Proud,1964
Gregory Isaacs,37,1980,1,http://open.spotify.com/track/2lPfcRMRLffiBTwLA9S8Vc,Love,Night Nurse,1982
The Isley Brothers,46,1970,1,http://open.spotify.com/track/5tECQN3UPXULg4nzgkXM9r,Love,Summer Breeze,1973
Elton John,40,1970,1,http://open.spotify.com/track/6TNHLD7QyX5KxdYmNwwDA6,Love,Are You Ready For Love,1979
Grace Jones,42,1970,1,http://open.spotify.com/track/50SLOKltoko04YawlAjDeH,Love,La Vie En Rose,1977
Alicia Keys,12,2000,1,http://open.spotify.com/track/1exNQxJp0tHfKe85qUpRJF,Love,No One,2007
Ben E King,58,1960,1,http://open.spotify.com/track/2FVHVmsUOyNnhlwtFLjoMF,Love,Stand By Me,1961
The Kinks,55,1960,1,http://open.spotify.com/track/0yjEOL4g41q4rAqoguFF0s,Love,You Really Got Me,1964
KD Lang,27,1990,1,http://open.spotify.com/track/77NdXr1ANwNkMEtgBNS2ZD,Love,Constant Craving,1992
Bob Lind,53,1960,1,http://open.spotify.com/track/226EXK5tPVsqaZ2y9RACR0,Love,Elusive Butterfly,1966
Bob Marley,41,1970,1,http://open.spotify.com/track/6wwxa6n8kSf3Bd0apxe0iy,Love,Is This Love?,1978
Paul McCartney and Wings,46,1970,1,http://open.spotify.com/track/5SL1Vx2h1ULwp1EKYKp1UN,Love,My Love,1973
Gwen McRae,45,1970,1,http://open.spotify.com/track/4dz8fFVtr8dPMqGThk5Cbs,Love,90% of Me is You,1974
Merrilee and the Turnabouts,51,1960,1,,Love,Angel of the Morning,1968
Kylie Minogue,18,2000,1,http://open.spotify.com/track/2HpWHLtZldOcDn5qzX8kb2,Love,Can’t Get You Out of My Head,2001
Joni Mitchell,45,1970,1,http://open.spotify.com/track/4gvV5Ib89fiwMtQ4biQQjd,Love,Help Me,1974
Van Morrison,51,1960,1,http://open.spotify.com/track/0XGw1JFG1kE6rFi4rtvs7w,Love,Madame George,1968
Randy Newman,24,1990,1,http://open.spotify.com/track/2O8YJmOg9lOgn5JNHF9Qi9,Love,You’ve Got a Friend,1995
Roy Orbison,55,1960,1,http://open.spotify.com/track/2DGXmZPZ07HnWkFj3AayR0,Love,"Oh, Pretty Woman",1964
Donny Osmond,47,1970,1,http://open.spotify.com/track/3ABtW1kSCzKlJGGDYFH7GV,Love,Puppy Love,1972
Gram Parsons,46,1970,1,http://open.spotify.com/track/0ik33iwk2do6Rf9rQs7e8X,Love,She,1973
Dolly Parton,45,1970,1,http://open.spotify.com/track/1n3q9eF2qqOaWHBBQHLRXw,Love,I Will Always Love You,1974
Wilson Pickett,52,1960,1,http://open.spotify.com/track/4QDK12L3s53JECMOhx3mdh,Love,I’m in Love,1967
The Pop Group,40,1970,1,http://open.spotify.com/track/2A99HGtYXdCZKYrvPqzA6v,Love,She is Beyond Good and Evil,1979
Cole Porter,91,1920,1,,Love,"Let’s Do It, Let’s Fall in Love",1928
Elvis Presley,58,1960,1,http://open.spotify.com/track/3Aw5RpV5q1zn66ck2jOQjs,Love,Can’t Help Falling in Love,1961
Elvis Presley,63,1950,1,http://open.spotify.com/track/65An7RQuVbAipQIYhJu0YJ,Love,Love Me Tender,1956
The Pretenders,25,1990,1,http://open.spotify.com/track/2bFG1ywgBAyZbJGMApTPfJ,Love,I’ll Stand By You,1994
Louis Prima and Keely Smith,60,1950,1,http://open.spotify.com/track/0e7LFGPufvU4ITix9vNSuc,Love,That Old Black Magic,1959
The Proclaimers,25,1990,1,http://open.spotify.com/track/3P7bVGMkeVSJBOqQXPNJit,Love,Let’s Get Married,1994
Queen,44,1970,1,http://open.spotify.com/track/0WMmdTiZrDkObaABU7mylW,Love,You’re My Best Friend,1975
A R Rahman,24,1990,1,,Love,Kehma Hi Kya,1995
The Righteous Brothers,54,1960,1,http://open.spotify.com/track/2ACjOtICHXrAlP3ijVMSvb,Love,Unchained Melody,1965
Rihanna,12,2000,1,http://open.spotify.com/track/0dOAByk7pJESaNScxIr5wI,Love,Umbrella,2007
Smokey Robinson and the Miracles,57,1960,1,http://open.spotify.com/track/7oLlI6vGHjjFfLkq0fq89A,Love,You’ve Really Got a Hold On Me,1962
The Ronettes,56,1960,1,http://open.spotify.com/track/0eXzLs2mOlkZXeftGN0SNH,Love,Be My Baby,1963
Mark Ronson featuring Amy Winehouse,12,2000,1,http://open.spotify.com/track/6wrRgHFLe5RgQLBVbnqCCe,Love,Valerie,2007
Todd Rundgren,47,1970,1,http://open.spotify.com/track/2QNMAvCnpIN6P43f8HPKp1,Love,I Saw the Light,1972
The Shangri-Las,55,1960,1,http://open.spotify.com/track/7rwBWEQ6APQBQ5sFDOytDb,Love,Leader of the Pack,1964
The Shirelles,58,1960,1,http://open.spotify.com/track/5SqfqdRQBq3JttB5Nh08H2,Love,Will You Love Me Tomorrow?,1961
Simon and Garfunkel,49,1970,1,http://open.spotify.com/track/1eAVDtuGhk1lVVjMbmFvsi,Love,Bridge Over Troubled Water,1970
Frank Sinatra,53,1960,1,http://open.spotify.com/track/09ityNOMUHKZ1sldYGWRCk,Love,Fly Me to the Moon,1966
Frank Sinatra,53,1960,1,,Love,Get Me to the Church On Time,1966
Frank Sinatra,64,1950,1,http://open.spotify.com/track/16y88kDkX8kgzFHMnXr33D,Love,Love and Marriage,1955
Percy Sledge,50,1960,1,http://open.spotify.com/track/38r31rrb3wYnNPa3TCn4Mn,Love,True Love Travels on a Gravel Road,1969
Labi Siffre,48,1970,1,http://open.spotify.com/track/2kLNtPuucbm4kPhzWpuOOM,Love,It Must Be Love,1971
Patti Smith,40,1970,1,http://open.spotify.com/track/7AXFxcR4QfoTPaWinYCFB3,Love,Frederick,1979
The Smiths,33,1980,1,,Love,There is a Light That Never Goes Out,1986
Sonny and Cher,54,1960,1,http://open.spotify.com/track/4TbuzNasQqnKJc3bJdZ0wZ,Love,I Got You Babe,1965
Soul Brothers Six,46,1970,1,,Love,You Gotta Come a Little Closer,1973
The Spice Girls,23,1990,1,http://open.spotify.com/track/1Je1IMUlBXcx1Fz0WE7oPT,Love,Wannabe,1996
The Spinners,47,1970,1,http://open.spotify.com/track/2vLaES21zwbX1Rnmj56Bbb,Love,I’ll Be Around,1972
Rod Stewart,48,1970,1,http://open.spotify.com/track/2YIJ6PXSWgwo25sE9eIzuU,Love,Mandolin Wind,1971
The Stone Roses,30,1980,1,http://open.spotify.com/track/5b6sFRZWMfcunej0zWE28r,Love,She Bangs the Drums,1989
Donna Summer,42,1970,1,http://open.spotify.com/track/6efRrfjV1YW1rtecLUHoP1,Love,I Feel Love,1977
The Supremes,55,1960,1,http://open.spotify.com/track/5uM9zdUz8PpYJME9wZCM4W,Love,Baby Love,1964
The Supremes,49,1970,1,,Love,Stoned Love,1970
The Supremes,53,1960,1,http://open.spotify.com/track/046ZhBbIMSnG3UXHXJD1cy,Love,You Can’t Hurry Love,1966
The Teenagers featuring Frankie Lymon,63,1950,1,http://open.spotify.com/track/2xKfXRhw5xaUXfevJJspZf,Love,Why Do Fools Fall in Love?,1956
The Temptations,55,1960,1,http://open.spotify.com/track/0651FOAfvX33QIjpYL4F95,Love,My Girl,1964
Them,55,1960,1,http://open.spotify.com/track/4VS4B6BjBK6liTPCf8O4aJ,Love,Gloria,1964
Them/Van Morrison,54,1960,1,http://open.spotify.com/track/7knFQrGf88XnKjgyGrB70p,Love,Here Comes the Night,1965
Ike and Tina Turner,53,1960,1,http://open.spotify.com/track/4psjgB5e5HIuUeSVbEUY64,Love,"River Deep, Mountain High",1966
Twinkle,55,1960,1,,Love,Terry,1964
Dinah Washington,67,1950,1,http://open.spotify.com/track/3q393Yh4k0cu2wlTgyiW4v,Love,Mad About the Boy,1952
Jimmy Webb,51,1960,1,http://open.spotify.com/track/4LKUWvk6kQDJSTkxP6TUYN,Love,Wichita Linesman,1968
Paul Weller,24,1990,1,http://open.spotify.com/track/0qWQxgHDjlE1kcLP0SHkRK,Love,You Do Something to Me,1995
Andy Williams,52,1960,1,http://open.spotify.com/track/5khJtAAIdaXwr3ZsQvvVv4,Love,Music to Watch Girls By,1967
Frank Wilson,53,1960,1,http://open.spotify.com/track/6QtbZ4rI3fJRufeNyi19Nd,Love,Do I Love You (Indeed I Do),1966
Bill Withers,47,1970,1,http://open.spotify.com/track/4IXTOcB1eMoE7dkBs6oRHr,Love,Lean on Me,1972
Neil Young,42,1970,1,http://open.spotify.com/track/1756tFft3p2hTUBzg9bKdQ,Love,Like a Hurricane,1977
Neil Young,49,1970,1,http://open.spotify.com/track/3nQBejgpXbSdWpJsXKYWye,Love,Only Love Can Break Your Heart,1970
ABC,38,1980,1,http://open.spotify.com/track/1DsmvwImEiDU0tLMOvOJZD,Heartbreak,Tears Are Not Enough,1981
Abba,39,1980,1,http://open.spotify.com/track/1g1RLXmuXu7HpMA6gmiYve,Heartbreak,The Winner Takes It All,1980
Ryan Adams,19,2000,1,,Heartbreak,Call Me on Your Way Back Home,2000
All Saints,22,1990,1,http://open.spotify.com/track/7ziHnshbknkpFLDW5yGBjO,Heartbreak,Never Ever,1997
Bill Allen and the Backbeats,61,1950,1,http://open.spotify.com/track/66auDFwg9lKmIYGQzEwHn5,Heartbreak,Please Give Me Something,1958
Badfinger,49,1970,1,http://open.spotify.com/track/5GFV9C9D7EztSc0bMzF9ss,Heartbreak,Without You,1970
Joan Baez,44,1970,1,http://open.spotify.com/track/5lZ4Dm9BBGcCBVbfzxnyCX,Heartbreak,Diamonds and Rust,1975
The Beatles,54,1960,1,,Heartbreak,You’ve Got to Hide Your Love Away,1965
Belle and Sebastian,23,1990,1,http://open.spotify.com/track/4lNs7YerSrW3dxxWHDRSIs,Heartbreak,The Boy Done Wrong Again,1996
Blondie,41,1970,1,http://open.spotify.com/track/0a4agFmqHXxcZl1nho1BxM,Heartbreak,Heart of Glass,1978
Blondie,40,1970,1,http://open.spotify.com/track/5Q7cE6wGHMehLFo2ppkk5D,Heartbreak,One Way Or Another,1979
Bon Iver,11,2000,1,http://open.spotify.com/track/6WlS5FP9XcB410zta3C67v,Heartbreak,Flume,2008
Bonnie ‘Prince’ Billy and Matt Sweeney,14,2000,1,,Heartbreak,Bed is For Sleeping,2005
David Bowie,50,1960,1,http://open.spotify.com/track/13YcDQxaOktczzQBliAISJ,Heartbreak,Letter to Hermione,1969
David Bowie,40,1970,1,http://open.spotify.com/track/6Q4S1KWuAg082DHm6BsazJ,Heartbreak,Repetition,1979
Toni Braxton,19,2000,1,http://open.spotify.com/track/2uHlwcSyNpekOl9EybwVaU,Heartbreak,He Wasn’t Man Enough,2000
Bright Eyes,14,2000,1,http://open.spotify.com/track/5bGoxCHvVavcFeQnI6NvUz,Heartbreak,Lua,2005
Buzzcocks,41,1970,1,http://open.spotify.com/track/4JXtIl8MKQT9Q7XkVvWV2I,Heartbreak,Ever Fallen in Love (With Someone You Shouldn’t’ve),1978
Johnny Cash,60,1950,1,http://open.spotify.com/track/17ULcItopPiilP1gIPrJvR,Heartbreak,I Still Miss Someone,1959
